,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
0,TCS,3.3,1.1L,9.9L,IT Services & Consulting,Bengaluru +439 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1,Accenture,3.7,72.4k,6.5L,IT Services & Consulting,Bengaluru +257 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
2,Wipro,3.6,64.3k,4.8L,IT Services & Consulting,Hyderabad +371 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Cognizant,3.7,60.6k,6L,IT Services & Consulting,Hyderabad +232 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Capgemini,3.7,52.3k,4.8L,IT Services & Consulting,Bengaluru +182 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,HDFC Bank,3.8,51.4k,1.5L,Banking,Mumbai +1837 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
6,Infosys,3.5,48k,5.2L,IT Services & Consulting,Bengaluru +248 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,ICICI Bank,3.9,45.4k,1.5L,Banking,Mumbai +1441 other locations,"Job Security, Promotions / Appraisal, Skill Development / Learning",
8,HCLTech,3.4,45.2k,3.8L,IT Services & Consulting,Chennai +231 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,3.4,42.8k,2.8L,IT Services & Consulting,Hyderabad +331 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Genpact,3.6,41.5k,2.3L,Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Teleperformance,3.8,37.6k,97.2k,BPO,Mumbai +256 other locations,Job Security,
12,Jio,4.4,33.4k,62.5k,Telecom,Mumbai +1969 other locations,"Job Security, Skill Development / Learning, Company Culture",
13,Axis Bank,3.6,32.7k,1L,Banking,Mumbai +1513 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
14,Concentrix Corporation,3.6,31.8k,1.3L,BPO,Bengaluru +179 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
15,Amazon,3.9,31.1k,1.5L,Internet,Bengaluru +522 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
16,iEnergizer,4.6,27.3k,24.4k,BPO,Noida +52 other locations,"Company Culture, Job Security, Skill Development / Learning",
17,Reliance Retail,3.9,27.2k,76.7k,Retail,Mumbai +1157 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
18,LTIMindtree,3.6,26.1k,1.9L,IT Services & Consulting,Bengaluru +145 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
19,IBM,3.9,25.5k,2.1L,IT Services & Consulting,Bengaluru +161 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
20,HDB Financial Services,3.9,25.4k,49.5k,NBFC,Mumbai +1092 other locations,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
21,Larsen & Toubro Limited,3.9,23.6k,75.1k,Engineering & Construction,Chennai +761 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Work Life Balance"
22,Deloitte,3.7,22.7k,2.5L,Management Consulting,Hyderabad +188 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
23,Kotak Mahindra Bank,3.6,22.2k,87.2k,Banking,Mumbai +688 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
24,Reliance Industries,4.0,20k,72.8k,Oil & Gas,Jamnagar +818 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
25,Vodafone Idea,3.9,17.5k,49.7k,Telecom,Pune +708 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
26,Bharti Airtel,3.8,17k,49.6k,Telecom,Gurugram +796 other locations,,Promotions / Appraisal
27,BYJU'S,3.2,16.4k,53.5k,EdTech,Bengaluru +322 other locations,,"Job Security, Work Life Balance, Company Culture"
28,WNS,3.3,15k,69.8k,IT Services & Consulting,Pune +66 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
29,IDFC FIRST Bank,3.9,14.3k,49.2k,Banking,Mumbai +719 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
30,Ernst & Young,3.4,14.2k,1.4L,Management Consulting,Bengaluru +132 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
31,Tata Motors,4.1,14.1k,42.9k,Automobile,Pune +508 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
32,IndusInd Bank,3.4,14k,52k,Banking,Mumbai +795 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
33,AU Small Finance Bank,3.9,14k,29.3k,Banking,Jaipur +792 other locations,"Skill Development / Learning, Salary & Benefits",
34,Muthoot FinCorp,4.6,13.1k,9.2k,NBFC,Bengaluru +1118 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
35,Bajaj Finserv,4.0,12.9k,30.5k,NBFC,Pune +1177 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
36,Flipkart,3.9,12.8k,54.8k,Internet,Bengaluru +558 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
37,PwC,3.3,12.3k,1.2L,Management Consulting,Bengaluru +133 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
38,Mahindra & Mahindra,4.0,12k,40.2k,Automobile,Pune +566 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
39,Infosys BPM,3.5,11.9k,74.3k,BPO,Bengaluru +96 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
40,HDFC Life,3.9,11.9k,33.1k,Insurance,Mumbai +706 other locations,"Job Security, Skill Development / Learning",
41,DXC Technology,3.6,11.9k,71.8k,IT Services & Consulting,Bengaluru +133 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
42,Bandhan Bank,3.7,10.9k,25k,Banking,Kolkata +1000 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
43,Digitide Solutions,3.5,10.2k,26.7k,IT Services & Consulting,Hyderabad +270 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
44,Mphasis,3.3,10.1k,74k,IT Services & Consulting,Bengaluru +64 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
45,Yes Bank,3.7,10.1k,43.1k,Banking,Mumbai +543 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
46,Tata Steel,4.0,9.8k,34.3k,Iron & Steel,Jamshedpur +229 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
47,Quess,3.8,9.6k,31.2k,Recruitment,Bengaluru +743 other locations,,"Promotions / Appraisal, Job Security"
48,Maruti Suzuki,4.2,9.5k,28.4k,Automobile,Gurugram +455 other locations,"Job Security, Salary & Benefits, Company Culture",
49,Asian Paints,3.9,9.5k,25.9k,Chemicals,Mumbai +553 other locations,"Salary & Benefits, Skill Development / Learning, Job Security","Promotions / Appraisal, Work Life Balance"
50,Startek,3.1,9.4k,24.6k,BPO,Bengaluru +103 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
51,UltraTech Cement,4.1,9.3k,25.1k,Building Material,Mumbai +541 other locations,"Job Security, Skill Development / Learning, Company Culture",
52,Paytm,3.2,9.2k,34.4k,FinTech,Noida +420 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
53,Bajaj Finance,3.9,9k,22.9k,NBFC,Pune +980 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
54,Shriram Finance,4.0,9k,15k,NBFC,Chennai +1115 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
55,Sutherland Global Services,3.4,8.9k,35k,BPO,Chennai +84 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
56,Equitas Small Finance Bank,4.4,8.8k,13.6k,Banking,Chennai +482 other locations,"Job Security, Company Culture, Work Life Balance",
57,Cipla,4.1,8.5k,26.3k,Pharma,Mumbai +294 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
58,EXL Service,3.6,8.5k,44.5k,Analytics & KPO,Noida +61 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
59,Wells Fargo,3.6,8.5k,56.9k,Financial Services,Bengaluru +27 other locations,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
60,Ericsson,3.9,8.3k,42.4k,Telecom,Noida +163 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
61,Samsung,3.9,8.3k,26.4k,Consumer Electronics & Appliances,Noida +585 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
62,Dr. Reddy's,4.0,8.1k,26k,Pharma,Hyderabad +215 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
63,Optum Global Solutions,4.0,7.8k,49.7k,IT Services & Consulting,Hyderabad +68 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
64,Delhivery,3.8,7.7k,21.4k,Logistics,Gurugram +761 other locations,,Promotions / Appraisal
65,JPMorgan Chase & Co.,3.8,7.7k,88.3k,Financial Services,Bengaluru +55 other locations,Job Security,Promotions / Appraisal
66,JSW Steel,3.9,7.7k,31.4k,Iron & Steel,Ballari +194 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
67,ICICI Prudential Life Insurance,3.9,7.7k,23.5k,Insurance,Mumbai +506 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
68,Hexaware Technologies,3.4,7.6k,54.4k,IT Services & Consulting,Chennai +69 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
69,HGS,3.7,7.5k,20.6k,BPO,Bengaluru +122 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
70,Jana Small Finance Bank,3.8,7.5k,14.2k,Banking,Bengaluru +419 other locations,Salary & Benefits,Promotions / Appraisal
71,Ujjivan Small Finance Bank,4.0,7.5k,13.3k,Banking,Bengaluru +536 other locations,"Company Culture, Work Life Balance, Job Security",
72,Sun Pharmaceutical Industries,4.1,7.5k,23.4k,Pharma,Vadodara +264 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
73,Amazon Development Centre India,3.8,7.5k,38.4k,Internet,Hyderabad +146 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Job Security, Skill Development / Learning"
74,Lupin,4.1,7.3k,22.6k,Pharma,Pune +205 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
75,Ekart Logistics,3.9,7.3k,16.2k,Logistics,Bengaluru +742 other locations,Skill Development / Learning,Promotions / Appraisal
76,Zydus Lifesciences,4.0,7.3k,20k,Pharma,Ahmedabad +178 other locations,"Salary & Benefits, Skill Development / Learning",
77,L&T Construction,4.0,7.3k,19.2k,Engineering & Construction,Chennai +433 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
78,Hindustan Unilever,4.2,7.2k,20.3k,FMCG,Mumbai +540 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
79,KPMG India,3.4,7.1k,66.1k,Management Consulting,Bengaluru +112 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
80,ITC,3.9,7.1k,24.9k,FMCG,Bengaluru +377 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
81,Axis Max Life Insurance,4.0,7k,20.3k,Insurance,New Delhi +500 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
82,Megha Engineering & Infrastructures,3.9,6.9k,18.6k,Engineering & Construction,Hyderabad +406 other locations,Work Life Balance,Promotions / Appraisal
83,Tata Projects,4.2,6.8k,22.6k,Engineering & Construction,Mumbai +287 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
84,Coforge,3.3,6.7k,50k,IT Services & Consulting,Noida +103 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
85,Bajaj Life Insurance,3.8,6.5k,17.3k,Insurance,Pune +615 other locations,Salary & Benefits,
86,L&T Technology Services,3.1,6.5k,43.3k,IT Services & Consulting,Bengaluru +93 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
87,Cholamandalam Investment & Finance,3.8,6.5k,12.4k,Financial Services,Chennai +853 other locations,Salary & Benefits,
88,FIS,3.8,6.5k,38.9k,FinTech,Pune +60 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning"
89,Oracle,3.5,6.3k,63.4k,Software Product,Bengaluru +56 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
90,Omega Healthcare,3.8,6.3k,26.9k,BPO,Chennai +69 other locations,,"Promotions / Appraisal, Salary & Benefits"
91,Muthoot Finance,3.7,6.3k,13k,NBFC,Bengaluru +791 other locations,,"Promotions / Appraisal, Work Satisfaction"
92,IIFL Finance,4.0,6.3k,14k,NBFC,Mumbai +807 other locations,"Work Life Balance, Company Culture, Job Security",
93,JLL,4.1,6.3k,24.4k,Real Estate,Gurugram +85 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
94,Indian Army,4.7,6.2k,9.3k,Defence & Aerospace,New Delhi +363 other locations,"Job Security, Company Culture, Work Life Balance",
95,eClerx,3.1,6.2k,32.5k,IT Services & Consulting,Pune +32 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
96,HCL Group,3.5,6.1k,39.3k,IT Services & Consulting,Chennai +97 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
97,DMart,3.9,6k,18.4k,Retail,Mumbai +248 other locations,"Job Security, Company Culture",Promotions / Appraisal
98,Virtusa Consulting Services,3.7,6k,57k,IT Services & Consulting,Hyderabad +55 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
99,Piramal Finance,4.2,6k,12.5k,NBFC,Mumbai +424 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
100,Indiamart Intermesh,3.5,5.9k,21.5k,Internet,Noida +173 other locations,,"Work Satisfaction, Promotions / Appraisal, Company Culture"
101,HSBC Group,3.9,5.9k,44k,Financial Services,Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
102,PolicyBazaar,3.8,5.9k,17.5k,Internet,Gurugram +150 other locations,Salary & Benefits,Work Life Balance
103,SMFG India Credit,3.9,5.9k,11k,NBFC,Mumbai +596 other locations,Salary & Benefits,Promotions / Appraisal
104,Access Healthcare,3.7,5.8k,28.9k,BPO,Chennai +63 other locations,Job Security,Promotions / Appraisal
105,BigBasket,3.9,5.8k,19.4k,Internet,Bengaluru +142 other locations,Job Security,Promotions / Appraisal
106,Siemens,3.9,5.7k,34.1k,Industrial Automation,Bengaluru +155 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
107,Aurobindo Pharma,4.0,5.8k,20.7k,Pharma,Hyderabad +115 other locations,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
108,Udaan,3.9,5.7k,15.7k,Internet,Bengaluru +367 other locations,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
109,GlobalLogic,3.5,5.7k,41.1k,IT Services & Consulting,Hyderabad +61 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
110,Manappuram Finance,3.9,5.7k,9.2k,NBFC,Bengaluru +657 other locations,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",
111,Firstsource Solutions,3.5,5.7k,24.5k,BPO,Bengaluru +74 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
112,ICICI Lombard General Insurance Company,3.5,5.7k,20.3k,Insurance,Mumbai +318 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
113,Tata Capital,4.0,5.7k,15.9k,NBFC,Mumbai +446 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
114,Shapoorji Pallonji Group,4.1,5.6k,15.4k,Engineering & Construction,Mumbai +189 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
115,Standard Chartered,3.6,5.6k,42.1k,Banking,Chennai +67 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
116,UST,3.7,5.6k,40k,IT Services & Consulting,Bengaluru +51 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
117,Apollo Hospitals,4.1,5.6k,16.6k,Healthcare,Chennai +228 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
118,Mahindra Finance,3.9,5.6k,12.1k,NBFC,Mumbai +736 other locations,Work Life Balance,Promotions / Appraisal
119,Bosch Global Software Technologies,3.7,5.6k,40.4k,IT Services & Consulting,Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
120,Ashok Leyland,4.0,5.5k,18.9k,Automobile,Chennai +266 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
121,Swiggy,3.7,5.5k,23.5k,Internet,Bengaluru +236 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
122,Citicorp,3.7,5.5k,53.3k,Financial Services,Pune +68 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
123,Hero MotoCorp,4.1,5.4k,16k,Automobile,Gurugram +369 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
124,CGI Group,4.0,5.3k,46.3k,IT Services & Consulting,Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
125,Cyient,3.6,5.3k,27.5k,IT Services & Consulting,Hyderabad +49 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
126,SBI Cards & Payment Services,3.6,5.2k,16.1k,Financial Services,Gurugram +443 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
127,BNY,3.6,5.2k,31.3k,Financial Services,Pune +26 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
128,Kalpataru Projects International,4.2,5.2k,13.8k,Engineering & Construction,Mumbai +325 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
129,IQVIA,3.7,5.2k,31.2k,Clinical Research,Bengaluru +66 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
130,NTT DATA,3.8,5.1k,36.5k,IT Services & Consulting,Bengaluru +81 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
131,JustDial,3.5,5.1k,15.2k,Internet,Noida +232 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
132,Nagarjuna Construction Company,4.0,5.1k,12.3k,Engineering & Construction,Hyderabad +299 other locations,"Job Security, Company Culture, Work Life Balance",
133,SBI Life Insurance Company,3.7,5.1k,12.1k,Insurance,Mumbai +659 other locations,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
134,Schneider Electric,4.1,5.1k,24.9k,Industrial Automation,Bengaluru +119 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
135,CBRE,4.1,5k,18.9k,Real Estate,Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",
136,TVS Motor,3.9,5k,16.1k,Automobile,Hosur +353 other locations,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
137,Persistent Systems,3.6,5k,45.7k,IT Services & Consulting,Pune +41 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
138,State Bank of India,3.8,4.9k,11.7k,Banking,Mumbai +621 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
139,Atos,3.8,4.9k,34k,IT Services & Consulting,Pune +49 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
140,vivo,4.1,4.9k,12.9k,Consumer Electronics & Appliances,Noida +415 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
141,KEC International,4.0,4.8k,13.5k,Engineering & Construction,Mumbai +312 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
142,Ecom Express,4.0,4.8k,9.4k,Logistics,Gurugram +778 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
143,Amdocs,3.6,4.8k,37.3k,Software Product,Pune +24 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
144,JBM Group,3.9,4.8k,14k,Auto Components,Gurugram +118 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
145,ITC Infotech,3.8,4.8k,29.8k,IT Services & Consulting,Bengaluru +68 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
146,Eviden,3.6,4.8k,27.8k,IT Services & Consulting,Pune +39 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
147,Varun Beverages,4.0,4.8k,11.9k,Beverage,New Delhi +382 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
148,Nagarro,3.9,4.7k,32.8k,IT Services & Consulting,Gurugram +49 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
149,Bosch,4.1,4.6k,21.1k,Auto Components,Bengaluru +132 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
150,Randstad,3.7,4.6k,16.7k,Recruitment,Hyderabad +359 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
151,Utkarsh Small Finance Bank,3.6,4.6k,11.4k,Banking,Varanasi +409 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
152,EY Global Delivery Services ( EY GDS),3.5,4.6k,50.6k,IT Services & Consulting,Bengaluru +56 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
153,Hewlett Packard Enterprise,4.1,4.6k,27.3k,IT Services & Consulting,Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
154,Home Credit Finance,4.0,4.6k,9.5k,NBFC,Gurugram +138 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
155,Aditya Birla Fashion and Retail,4.0,4.6k,13.4k,Fashion & Textile,Bengaluru +292 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
156,Cars24,3.5,4.5k,15.5k,Internet,Gurugram +171 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
157,L&T Finance,3.9,4.5k,11.4k,NBFC,Mumbai +640 other locations,"Salary & Benefits, Job Security",Promotions / Appraisal
158,Havells,3.9,4.5k,14.7k,Electrical Equipment,Noida +263 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
159,Mahindra Logistics,3.7,4.5k,12.9k,Logistics,Mumbai +234 other locations,,"Promotions / Appraisal, Salary & Benefits"
160,Dell,3.8,4.5k,28.9k,Consumer Electronics & Appliances,Bengaluru +118 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
161,R1 RCM,3.8,4.5k,21.9k,BPO,New Delhi +46 other locations,Job Security,Promotions / Appraisal
162,Intas Pharmaceuticals,4.1,4.5k,17.2k,Pharma,Ahmedabad +150 other locations,"Job Security, Salary & Benefits, Work Life Balance",
163,OPPO,3.9,4.5k,11.9k,Consumer Electronics & Appliances,Greater Noida +412 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
164,Tata AIA Life Insurance,3.9,4.4k,14.5k,Insurance,Mumbai +446 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
165,Hetero,3.9,4.4k,15.3k,Pharma,Hyderabad +68 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
166,Hyundai Motor India Limited,4.1,4.4k,14.2k,Automobile,Chennai +286 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
167,Deutsche Bank,3.8,4.4k,36.8k,Banking,Pune +42 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
168,Berger Paints,3.7,4.4k,10.7k,Chemicals,Kolkata +359 other locations,,"Promotions / Appraisal, Work Life Balance, Company Culture"
169,Motilal Oswal Financial Services,3.7,4.4k,12.9k,Financial Services,Mumbai +170 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
170,TeamLease Services,3.9,4.3k,16.3k,Recruitment,Bengaluru +401 other locations,Work Life Balance,Promotions / Appraisal
171,Lenskart,3.3,4.3k,13k,Internet,New Delhi +244 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
172,VE Commercial Vehicles,3.9,4.3k,14.1k,Automobile,Indore +181 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
173,Thermax Limited,4.2,4.2k,13.2k,Industrial Machinery,Pune +255 other locations,"Job Security, Company Culture, Work Life Balance",
174,Bajaj Auto,3.8,4.2k,14.6k,Automobile,Pune +321 other locations,,Promotions / Appraisal
175,Macleods Pharmaceuticals,3.7,4.2k,15.7k,Pharma,Mumbai +135 other locations,Job Security,"Promotions / Appraisal, Company Culture"
176,Jubilant Foods Works,3.7,4.2k,9.5k,Hospitality,New Delhi +262 other locations,,Promotions / Appraisal
177,Aakash Educational Services,3.2,4.1k,13.7k,Education & Training,New Delhi +248 other locations,,"Promotions / Appraisal, Work Life Balance, Job Security"
178,Kogta Financial India Limited,4.7,4.1k,1.9k,NBFC,Jaipur +261 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
179,LG Electronics,3.9,4.1k,11.2k,Consumer Electronics & Appliances,Pune +300 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
180,Hindalco Industries,4.2,4.1k,12.8k,Metals & Mining,Sambalpur +129 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
181,Jindal Steel Limited,3.9,4.1k,15.7k,Iron & Steel,Angul +175 other locations,Skill Development / Learning,Promotions / Appraisal
182,Royal Enfield,4.2,4.1k,14.9k,Automobile,Chennai +377 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
183,State Street Corporation,3.5,4.1k,32.3k,Financial Services,Bengaluru +35 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
184,DCB Bank,3.8,4k,9.7k,Banking,Mumbai +346 other locations,Work Life Balance,Promotions / Appraisal
185,John Deere,4.0,4k,15.4k,Industrial Machinery,Pune +154 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
186,Tata Communications,3.9,4k,23.4k,Telecom,Pune +102 other locations,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
187,HDFC Ergo General Insurance,4.0,4k,12.1k,Insurance,Mumbai +328 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
188,RBL Bank,3.5,4k,18.5k,Banking,Mumbai +289 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
189,Cummins,4.3,3.9k,15.6k,Industrial Machinery,Pune +116 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
190,Publicis Sapient,3.3,3.9k,31.4k,IT Services & Consulting,Bengaluru +46 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
191,Bank of America,4.1,3.9k,28.8k,Banking,Gurugram +35 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
192,Alembic Pharmaceuticals,3.9,3.9k,15.4k,Pharma,Vadodara +188 other locations,"Salary & Benefits, Work Life Balance",
193,Pidilite Industries,4.2,3.9k,11.6k,Chemicals,Mumbai +320 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
194,Oyo Rooms,3.0,3.9k,14.3k,Internet,Gurugram +121 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
