,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
5756,Bhansali Engineering Polymers,3.3,193,735,Petrochemicals,Abu Road +13 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
5757,Mantra Softech,3.9,192,1.1k,IT Services & Consulting,Ahmedabad +23 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
5758,Jasmin Infotech,3.9,192,1.5k,Software Product,Chennai +2 other locations,Job Security,Promotions / Appraisal
5759,Tonglit Autogistic,3.7,191,736,Logistics,Chennai +15 other locations,,"Job Security, Promotions / Appraisal"
5760,ICT Service Management Solutions,3.4,191,618,IT Services & Consulting,Bengaluru +11 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5761,Zydus Pharma,3.7,191,681,Pharma,Ahmedabad +40 other locations,Salary & Benefits,"Work Satisfaction, Promotions / Appraisal, Company Culture"
5762,Gennova Biopharmaceuticals,4.4,191,819,Pharma,Pune +9 other locations,"Company Culture, Work Life Balance, Job Security",
5763,HeyCoach,3.9,191,188,Education & Training,Bengaluru +7 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
5764,Sun Direct TV,3.8,191,628,Telecom,Chennai +50 other locations,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5765,Green Gene Enviro Protection And Infrastructure,3.5,191,536,Waste Management,Faridabad +28 other locations,,"Promotions / Appraisal, Skill Development / Learning, Job Security"
5766,The Chennai Silks,3.5,192,795,Fashion & Textile,Coimbatore +21 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
5767,Shipco It,3.6,191,477,IT Services & Consulting,Pune +4 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5768,Nippon Data Systems,3.5,191,1.1k,IT Services & Consulting,New Delhi +26 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
5769,Apps Associates,3.8,191,1.4k,IT Services & Consulting,Hyderabad +6 other locations,,"Promotions / Appraisal, Job Security"
5770,Hi-Tech,3.7,191,1.2k,Education & Training,New Delhi +58 other locations,,Promotions / Appraisal
5771,AB Mauri India,3.9,191,747,Food Processing,Bengaluru +32 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
5772,Sula Vineyards,4.1,191,776,Food Processing,Nashik +16 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
5773,Oswal Castings,3.6,191,707,Metals & Mining,Faridabad +10 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
5774,Japfa Comfeed India Private Limited,3.7,191,829,Agriculture,Pune +22 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction"
5775,Vertafore,3.8,191,1.7k,IT Services & Consulting,Hyderabad +2 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
5776,Nipro India Corporation,3.2,191,925,Healthcare,Pune +16 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5777,SOS Children's Village,3.4,191,478,Non-Profit,New Delhi +31 other locations,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
5778,Anion Healthcare Services,3.9,191,654,Healthcare,Hyderabad +4 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning"
5779,Empower Pragati,3.7,190,473,Education & Training,New Delhi +54 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
